Iteration,SSIM,L1,PSNR,LPIPS,Loss,FPS,Iteration Time
1000,0.7562915086746216,0.0954519510269165,16.94786148071289,0.5034789741039276,3.1184022426605225,23.69549752644619,42.491
2000,0.7228894829750061,0.06600461155176163,17.23483695983887,0.4933007776737213,0.11852103471755981,21.333970505141227,83.695
3000,0.735221803188324,0.059568967670202255,17.40920639038086,0.48532005548477175,0.08854782581329346,20.74985018051556,125.784
4000,0.7696041464805603,0.07606477290391922,18.606348419189455,0.4745712697505951,0.09134566783905029,21.28978698680612,178.392
5000,0.8816608786582947,0.04053398221731186,18.32376937866211,0.46743034124374394,0.04678145423531532,20.18108036033772,233.237
6000,0.8226475715637207,0.09088289737701416,18.60578441619873,0.4532529413700104,0.09556224942207336,22.91062388590554,289.786
7000,0.7972036600112915,0.06474873423576355,19.34450340270996,0.44835737943649295,0.07833591848611832,11.544502643163696,355.914
8000,0.7811743021011353,0.06950807571411133,19.699089431762697,0.43320876359939575,0.0851580947637558,19.50939974197735,419.323
9000,0.8000313639640808,0.04683002829551697,19.89805717468262,0.4205550134181977,0.06672661006450653,13.808858478796292,483.785
10000,0.7900171875953674,0.03368648141622543,20.31884632110596,0.4176870107650757,0.06065645068883896,6.824050069967963,555.320
11000,0.8327466249465942,0.0476517416536808,19.951358032226565,0.4134295880794525,0.06129290163516998,15.40076510331762,641.023
12000,0.7712464332580566,0.08070088177919388,19.660274887084963,0.40675982236862185,0.0940084308385849,7.7641754905537015,2179.938
13000,0.8113203644752502,0.04618002474308014,20.96872673034668,0.39338498711586,0.06462590396404266,15.91095150092597,2456.207
14000,0.7952687740325928,0.04732663556933403,20.90367183685303,0.3849421739578247,0.06840161979198456,18.652707874476178,5678.054
15000,0.7497504949569702,0.06500846147537231,20.75318641662598,0.37556361556053164,0.08844038844108582,11.742187179450886,10021.014
16000,0.6901100873947144,0.07075811922550201,21.987850189208984,0.3590989619493485,0.10422399640083313,0.09666032899626743,14649.172
17000,0.8324471712112427,0.033154428005218506,22.193569564819338,0.35404970943927766,0.052104443311691284,0.0635235219723458,21659.041
